0,1,2,3,4,5,6
-2.216487274156854,-0.2756785085563619,-1.2109311711864779,-0.09449423610389579,1.1904856335398195,0.02545704256195669,0.5536862010797684
-2.3471623023050894,0.34715739827618053,-0.9201808272634058,0.5198394737587458,0.2023618204693981,-0.6387481639197543,0.7208655241409931
-2.582279469181649,0.042244885158478684,-0.8091475751160189,-0.38987826645695994,0.12904039926470023,-0.39878180859683243,0.6852980142815075
-2.109565521688159,1.7094426764137467,-1.3565722907560682,-0.44492236204246444,-0.4057207066193398,0.157812508335752,-0.042532670638248116
-1.6848840305044748,1.7248139094405548,-1.479316933694196,1.452717013657035,-0.3583745333049627,0.14357200623959088,0.15222877955242467
-1.1526284769781123,1.2268569432950462,-1.900479566565586,1.3192573726286898,1.216891314376865,-0.8283315138604832,-0.347373479712086
-2.3769549567407653,0.74117920063615,-0.9844378235616865,-0.43966126267362676,0.037055961749942135,-0.6061629223684262,0.673947023147807
-2.3459224954349036,0.8758437807861127,-1.0828599329360435,-0.4174003142497122,-0.13834015367731967,-0.12048465013054055,0.3213826718216297
-2.272060941139046,1.1363434356697484,-1.1683950447548013,-0.4260009541849474,-0.2218965764717009,-0.03351678810982395,0.20765912730291783
-2.4345563605899327,0.5632441949257501,-0.9802177987535343,-0.4070795463274301,-0.038072446324062315,-0.2248460845553999,0.4578509252440838
-1.9175254805189286,2.3867417791111993,-1.5789635814848384,-0.46728402587407575,-0.6229674058847311,0.3839289495896141,-0.33821388638689875
-2.0872222432197347,1.589597185016355,-1.2849651841360643,-0.015016995338827221,0.1293278268133799,0.09796174982957417,-0.29489231215018374
-2.1756723958535793,1.0491139268331255,-1.1973110343308835,0.5864349971975128,-0.08636533377427308,-0.1044367394068686,0.27516369045159594
-2.168165748440475,1.147506496449564,-1.22205593075024,0.6462507240957883,-0.049294811560796126,-0.2123457387691572,0.38672858822205713
-1.9127105293813096,2.469476516885213,-1.5923387530268935,-0.4250068834930589,-0.6237025873712229,0.3110972866363797,-0.26635738493678784
-2.061562822315219,0.4693661545617557,-1.4878225461715007,-0.5450411386520972,0.4549016854005846,0.294030669917853,0.5331093357467959
-2.38446160415387,0.6427866310197119,-0.95969292714233,-0.4994769895719024,-1.4560463534929458e-05,-0.49825392300613736,0.5623821253773457
-1.9060850335930661,0.5905363696320415,-1.5851666252025889,0.46051430078217476,0.5235877898625075,0.29268500823738197,0.5096350632805045
-2.264306261008609,0.7365143409727628,-1.094668900148374,0.5967557651197949,0.01390237357898455,-0.20879817383172772,0.41163194387405017
-1.4891582225398192,1.0057366973558355,-1.781637412747144,1.3353969571769324,0.3351350131261992,0.4537258918631242,0.5004236969000451
-2.353123838684823,0.6517984274352666,-0.9770387815885365,0.015945308428019056,0.4301309488731524,-0.2151225534450043,0.1145124481171787
